ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc
5762,562,0.9305379863664703,90325,73,7,19,5176,12,5,Mortgage,Bachelor,Divorced,29,0.30434665
5763,471,0.7701722804683188,188410,19,6,0,17076,15,25,Rent,High School,Widowed,26,0.22318646
5764,849,0.6367934443922016,27175,80,2,1,3195,2,14,Own,Bachelor,Widowed,24,0.23638614
5765,591,0.8211371544001855,85507,31,6,19,14476,19,12,Own,Bachelor,Single,25,0.2829596
5766,767,0.16362596398210794,39771,69,3,18,12273,19,27,Own,High School,Widowed,25,0.17189285
5767,511,0.004778578630459718,191923,86,6,12,10969,12,17,Mortgage,High School,Widowed,27,0.18526086
5768,476,0.6115512320662947,128788,80,0,1,18958,0,21,Rent,PhD,Single,22,0.28956416
5769,750,0.14385903039760606,78246,27,8,5,17893,1,26,Own,High School,Single,29,0.22953153
5770,540,0.5432919652630885,187956,82,7,8,17128,8,28,Mortgage,High School,Divorced,25,0.24311012
5771,746,0.2522596396607396,97267,49,3,6,11657,17,2,Rent,Bachelor,Married,18,0.2699475
5772,739,0.7352630591896376,47090,49,4,6,18486,5,2,Mortgage,Masters,Married,0,0.19470084
5773,604,0.5221589986297844,47816,48,2,14,8704,5,5,Mortgage,PhD,Divorced,24,0.25098816
5774,644,0.6264310844705684,144542,64,5,8,19577,16,17,Mortgage,Bachelor,Married,15,0.28847557
5775,846,0.7072870788969704,35888,29,5,16,8885,19,12,Own,High School,Widowed,17,0.20376039
5776,448,0.8866201599577984,70768,74,6,8,16600,5,13,Rent,Masters,Married,18,0.22112316
5777,788,0.9882706395799424,102449,24,4,14,3384,15,15,Mortgage,Masters,Widowed,22,0.19509761
5778,660,0.4424065008330036,89362,53,5,6,12608,16,5,Rent,Masters,Single,28,0.21434416
5779,467,0.8174853591851421,121126,48,0,12,2590,4,8,Mortgage,Bachelor,Married,16,0.3173142
5780,443,0.45569895804066696,165866,27,7,4,12699,11,15,Mortgage,Masters,Widowed,1,0.0
5781,712,0.5117638422066199,126886,38,4,4,12143,11,28,Own,High School,Widowed,25,0.21966942
5782,623,0.09114943643824147,145853,69,6,17,16284,15,8,Rent,Masters,Divorced,4,0.1641814
5783,704,0.7089222298755952,103428,39,0,13,19995,16,12,Rent,PhD,Married,2,0.2637743
5784,465,0.8900064097131812,162796,20,2,1,13801,12,15,Mortgage,PhD,Widowed,14,0.19272368
5785,404,0.7623178383386338,159099,43,9,6,17343,6,26,Mortgage,Bachelor,Single,14,0.25430116
5786,378,0.8621166540098011,127548,75,7,2,13343,10,7,Rent,Bachelor,Widowed,25,0.21809982
5787,790,0.6852299357703203,57341,39,8,10,5575,17,3,Mortgage,Masters,Widowed,23,0.15493433
5788,737,0.412452524745037,70869,72,5,7,6609,1,21,Mortgage,Bachelor,Single,14,0.26878828
5789,810,0.43678780530340455,38791,62,2,17,12671,18,29,Mortgage,Masters,Single,20,0.26738286
5790,367,0.3140541770140082,165259,69,2,12,8172,13,7,Own,High School,Widowed,4,0.18674292
5791,737,0.9880113307746318,49301,47,7,16,1182,2,20,Own,Bachelor,Single,9,0.31660634
5792,732,0.5325077017259044,28117,41,8,9,18934,10,9,Rent,Bachelor,Married,26,0.28775668
5793,831,0.9607103256495528,115723,47,4,12,11923,1,13,Rent,Masters,Married,27,0.23736192
5794,676,0.1929097356934788,153484,31,5,18,2691,2,18,Mortgage,PhD,Widowed,29,0.1805251
5795,442,0.31565298615477644,154671,84,1,4,17467,11,9,Rent,Masters,Single,14,0.24369946
5796,373,0.4067899491737744,30523,30,5,16,13584,12,1,Mortgage,High School,Single,15,0.23409039
5797,533,0.25376419085249946,168720,20,6,1,18427,6,12,Rent,PhD,Widowed,25,0.17978488
5798,630,0.16021590164251764,58652,47,7,0,4033,12,20,Rent,Bachelor,Single,11,0.22122774
5799,544,0.43046847072783123,27443,83,8,19,8595,9,29,Own,Bachelor,Single,5,0.2984119
5800,678,0.4358175985508299,113798,45,0,17,17430,16,10,Own,High School,Divorced,12,0.26100823
5801,711,0.45149733545622894,105065,55,0,0,11911,2,6,Rent,Masters,Married,8,0.17399792
5802,418,0.640983788914204,105918,32,4,7,15512,14,17,Rent,PhD,Widowed,3,0.21470004
5803,831,0.5300079773488741,151557,51,5,2,11612,12,0,Mortgage,Masters,Single,5,0.155129
5804,535,0.22275848366052042,162135,86,6,1,4100,14,13,Mortgage,High School,Married,24,0.21093452
5805,589,0.6229829133956755,58421,37,2,2,7258,5,4,Mortgage,Bachelor,Single,22,0.25582612
5806,312,0.3756158457914358,190237,23,1,2,16965,11,26,Rent,High School,Single,19,0.26735252
5807,823,0.27312037679739887,92839,80,3,8,2362,18,7,Mortgage,Bachelor,Divorced,18,0.26619577
5808,577,0.33919127199388,195750,29,3,11,13776,9,14,Rent,PhD,Married,9,0.24713026
5809,505,0.5193481237853157,32118,87,8,19,18689,3,24,Own,High School,Single,22,0.30372646
5810,842,0.2599642652865187,57384,33,8,0,11788,6,13,Own,PhD,Single,3,0.24642108
5811,592,0.5215330992712763,112063,23,7,8,11197,17,29,Rent,Bachelor,Divorced,4,0.21688102
5812,545,0.6682164452976809,50609,51,4,10,19920,17,29,Mortgage,Bachelor,Married,1,0.29139298
5813,848,0.681853653648607,44142,80,4,0,12975,12,5,Rent,PhD,Single,15,0.27679005
5814,390,0.5113691637787382,146500,39,1,14,14504,11,3,Own,Masters,Widowed,25,0.18738088
5815,495,0.690512563415778,184635,25,5,5,11451,5,6,Rent,Masters,Single,26,0.19846408
5816,500,0.2729408831857849,74560,45,6,10,19986,5,0,Mortgage,Masters,Widowed,27,0.0
5817,447,0.9794668261935169,181775,43,4,17,15967,19,11,Own,PhD,Widowed,16,0.2283299
5818,683,0.005458608941284582,176268,78,6,7,14191,7,21,Own,Bachelor,Married,17,0.30781013
5819,312,0.5365850769741789,168167,71,2,1,3689,15,13,Own,High School,Divorced,9,0.2544831
5820,444,0.6646182987086932,71998,72,3,13,11823,14,3,Own,PhD,Widowed,23,0.22364616
5821,721,0.9328324729548036,162075,55,9,1,10331,7,23,Own,Masters,Divorced,5,0.19020224
5822,454,0.8280654653249498,41623,23,5,10,14080,2,15,Mortgage,Masters,Single,0,0.18659586
5823,484,0.43789202000070415,113496,24,7,1,17741,18,10,Mortgage,Bachelor,Widowed,25,0.17334527
5824,718,0.3122400148178205,40340,87,5,16,18841,5,9,Mortgage,PhD,Married,13,0.30774185
5825,495,0.6302198019292291,85378,31,8,14,14904,15,1,Rent,Bachelor,Divorced,10,0.23057072
5826,424,0.16644914068542316,159877,29,9,5,16671,18,0,Rent,High School,Single,3,0.18312208
5827,806,0.12482473671572913,82347,68,9,6,6464,14,7,Mortgage,High School,Single,21,0.18662551
5828,640,0.0281861286524423,61818,30,8,1,16342,15,20,Mortgage,PhD,Divorced,25,0.19772628
5829,794,0.2442285517213828,105393,32,4,7,3610,4,13,Rent,Bachelor,Single,19,0.21236806
5830,729,0.8430785905817921,97653,64,0,10,12924,9,3,Own,High School,Widowed,1,0.19831084
5831,800,0.6465044518248614,95995,58,7,18,3178,11,26,Mortgage,High School,Divorced,5,0.20895578
5832,334,0.8062385365797387,53079,49,8,15,10797,16,25,Rent,Bachelor,Married,10,0.2802821
5833,561,0.04005782769293087,39421,69,7,9,18910,18,20,Own,Masters,Married,17,0.28287518
5834,315,0.28385308284243826,167241,30,1,19,15630,19,12,Own,Bachelor,Married,20,0.26741296
5835,383,0.09820314024211574,21255,24,3,12,3414,17,18,Rent,Masters,Married,1,0.2098936
5836,497,0.6433929107404128,181065,79,4,16,18588,0,8,Mortgage,PhD,Divorced,23,0.2387189
5837,821,0.9406079206967024,145121,25,3,9,13136,15,12,Rent,Masters,Married,13,0.19038779
5838,791,0.9259226448839727,195866,45,8,8,5327,4,19,Own,PhD,Widowed,26,0.2397018
5839,654,0.6415130221509787,120919,47,9,2,1674,13,12,Rent,Bachelor,Widowed,14,0.18840787
5840,610,0.031641835706984756,149486,80,7,18,19506,2,23,Mortgage,PhD,Widowed,20,0.15317394
5841,414,0.627100407854757,73235,83,2,19,6404,4,27,Own,PhD,Married,23,0.34934014
5842,749,0.10085987549291375,139439,86,8,7,19256,19,6,Mortgage,Masters,Married,23,0.23849668
5843,805,0.3764415400761879,165807,31,1,3,9599,15,15,Rent,PhD,Divorced,19,0.23935327
5844,758,0.23273334459787798,101276,66,4,13,10964,6,19,Mortgage,Bachelor,Single,24,0.26732543
5845,379,0.2147293181266965,199222,29,4,9,13924,15,6,Mortgage,Bachelor,Single,21,0.23214437
5846,846,0.5172984919580395,73297,21,7,1,14699,15,28,Rent,High School,Widowed,5,0.0
5847,334,0.4026941388788773,192104,79,4,4,7970,3,12,Rent,Masters,Divorced,26,0.2060407
5848,417,0.46310336496968585,72797,49,4,14,19489,12,0,Own,PhD,Divorced,22,0.2677801
5849,647,0.6722871869200078,128435,89,8,13,5360,11,5,Rent,PhD,Divorced,27,0.22448656
5850,531,0.04649807901823322,114739,74,2,5,8578,3,12,Rent,High School,Divorced,16,0.17749296
5851,398,0.4116936982211383,42219,64,4,13,11875,19,14,Mortgage,Bachelor,Widowed,23,0.22545774
5852,766,0.5565631904436743,138663,56,4,13,13131,11,15,Mortgage,High School,Single,14,0.25663424
5853,387,0.5446582505523346,165489,50,4,11,14309,13,29,Rent,Bachelor,Married,26,0.3006943
5854,589,0.6182849286379748,29981,33,8,14,13938,19,15,Own,High School,Married,13,0.2836874
5855,629,0.00097890521603905,157295,64,3,19,18559,13,19,Rent,Bachelor,Widowed,28,0.0
5856,450,0.8097858692444471,45105,45,6,8,8445,1,16,Rent,Bachelor,Single,17,0.2663816
5857,790,0.401403373166213,52947,82,2,9,10460,7,13,Mortgage,Masters,Married,27,0.29902607
5858,756,0.3441805276151312,191206,54,5,3,11030,11,25,Own,High School,Widowed,1,0.15833984
5859,750,0.4183491894932262,122521,68,7,0,10684,19,19,Own,Bachelor,Single,11,0.280943
5860,388,0.3311854177832927,172309,34,5,6,19557,19,13,Mortgage,Bachelor,Divorced,11,0.21913779
5861,410,0.38479265755964154,104105,46,0,9,2161,12,12,Rent,PhD,Divorced,9,0.26353267
5862,760,0.8613321388944192,20589,67,2,1,3604,11,8,Rent,Bachelor,Widowed,26,0.19549765
5863,385,0.8656393962849034,69749,84,7,14,9424,12,0,Own,High School,Single,15,0.28953642
5864,730,0.8128534191196363,149792,55,6,4,19291,0,28,Rent,Bachelor,Divorced,4,0.22300881
5865,361,0.8041786776149643,94494,22,2,12,19084,6,2,Mortgage,PhD,Divorced,16,0.22771673
5866,751,0.4898337981825439,190527,56,1,17,1281,9,20,Own,PhD,Married,25,0.32293
5867,602,0.10576124481963523,162760,19,3,11,17062,10,16,Rent,High School,Widowed,14,0.0
5868,420,0.2782786568199904,79079,69,7,8,10365,16,24,Own,Masters,Single,20,0.2684156
5869,779,0.6303933486005459,187572,75,2,18,11086,16,2,Own,High School,Divorced,26,0.2489049
5870,354,0.1695305556471719,88987,82,4,0,3344,5,26,Rent,PhD,Single,15,0.24524896
5871,835,0.5114538931771041,94494,87,9,7,1507,11,16,Mortgage,Masters,Widowed,3,0.15231897
5872,551,0.5855942094294436,190487,69,6,14,15293,1,5,Own,Bachelor,Single,5,0.22672278
5873,742,0.6802583257811428,162262,60,2,13,17746,2,18,Own,High School,Widowed,21,0.2206601
5874,540,0.25118796833391166,71947,51,6,19,12065,4,29,Own,Bachelor,Divorced,11,0.28525725
5875,723,0.3342295505632138,45244,73,1,12,7180,11,2,Mortgage,Masters,Widowed,26,0.16763502
5876,353,0.5779144018716458,111623,83,1,6,1997,12,18,Rent,PhD,Single,14,0.26617151
5877,759,0.6031023531846929,142997,69,7,18,18927,4,23,Mortgage,PhD,Widowed,22,0.18430348
5878,584,0.11018872171297978,39739,47,9,2,9126,16,10,Own,Bachelor,Married,1,0.2770721
5879,361,0.04948094591424168,186920,34,1,17,17532,17,13,Mortgage,High School,Divorced,27,0.21516852
5880,750,0.15478001425044186,149088,83,8,8,7121,10,29,Rent,Bachelor,Divorced,26,0.25970206
5881,602,0.6160328435935761,153663,65,4,7,9459,19,2,Mortgage,Bachelor,Single,21,0.28347138
5882,496,0.6361816910342142,87514,49,5,14,8380,12,3,Own,High School,Married,26,0.3190411
5883,664,0.16211927550715133,125964,35,7,13,13294,11,12,Own,High School,Divorced,6,0.18637933
5884,801,0.4663012547905222,162334,60,9,2,17119,5,3,Rent,Masters,Widowed,3,0.0
5885,830,0.6572993510380432,163974,27,2,17,17617,12,27,Own,Bachelor,Widowed,6,0.20955049
5886,750,0.47317666765848354,71251,70,7,6,19879,5,5,Mortgage,PhD,Married,0,0.23858103
5887,379,0.9688597480206812,25975,39,5,8,16022,10,14,Rent,Bachelor,Divorced,21,0.26807508
5888,441,0.6325668472725748,150998,39,7,0,1068,4,29,Rent,Bachelor,Divorced,9,0.24838255
5889,697,0.6798368742735393,137642,37,0,15,11778,6,26,Own,Masters,Divorced,11,0.2744337
5890,753,0.9771371818456291,170117,50,7,3,15953,0,24,Rent,Masters,Divorced,8,0.17999454
5891,758,0.3049706260342232,69664,23,9,13,14457,7,6,Rent,High School,Divorced,11,0.18930942
5892,827,0.1973507873495407,86953,67,0,7,2706,10,16,Own,Masters,Divorced,7,0.27956474
5893,404,0.6994123396694042,127986,41,4,16,12235,18,17,Rent,Masters,Divorced,28,0.25146618
5894,619,0.2233720468054673,105854,30,7,15,2456,8,11,Own,Bachelor,Single,2,0.22168224
5895,469,0.39052714223357654,32656,22,3,7,8855,8,23,Mortgage,High School,Divorced,11,0.18619196
5896,818,0.7808832356110158,102521,57,3,2,1669,14,9,Mortgage,Bachelor,Widowed,23,0.21138072
5897,437,0.07443735709255594,34873,88,5,14,9185,7,6,Mortgage,High School,Single,11,0.21992204
5898,364,0.926978313255903,199001,78,7,2,11443,7,13,Own,Bachelor,Divorced,1,0.25276214
5899,572,0.5326026042473427,96660,25,1,12,13304,4,19,Rent,Masters,Single,12,0.19726601
5900,763,0.07420171758634664,60623,35,0,0,11201,17,2,Rent,Bachelor,Married,16,0.25973776
5901,523,0.8785495043314857,184673,48,3,17,11212,13,6,Mortgage,High School,Single,13,0.2916784
5902,391,0.34482329433586856,75236,55,2,14,6621,10,10,Own,Bachelor,Single,17,0.2542953
5903,362,0.1331059059838159,101843,79,3,16,11360,11,18,Mortgage,Masters,Widowed,13,0.19850925
5904,509,0.6449537439427468,121324,23,4,19,3293,11,11,Own,Masters,Single,4,0.23338217
5905,620,0.8764469138248664,76906,35,7,10,8863,7,11,Own,PhD,Divorced,3,0.2592163
5906,765,0.9877821020360157,190077,85,7,0,6084,14,21,Rent,High School,Divorced,27,0.24657212
5907,660,0.2931192551119336,139219,80,0,6,13133,15,12,Mortgage,Bachelor,Divorced,11,0.30679566
5908,527,0.5052471343820231,161602,81,1,10,9459,6,28,Rent,Bachelor,Divorced,0,0.27217248
5909,680,0.9276806526432628,164385,80,3,1,17322,17,17,Mortgage,High School,Single,23,0.26884392
5910,795,0.11272612720249242,61399,73,8,14,12019,4,6,Rent,PhD,Divorced,12,0.23158494
5911,470,0.6136428449983092,34901,71,9,14,6699,17,6,Mortgage,PhD,Married,11,0.27627623
5912,700,0.30494208877156914,192942,57,5,6,19318,9,4,Own,Bachelor,Widowed,17,0.16422427
5913,707,0.6143429452743533,67763,87,8,13,10834,12,18,Mortgage,High School,Widowed,4,0.15521118
5914,782,0.9654381604544795,68886,26,9,12,6063,3,14,Own,PhD,Married,2,0.30157351
5915,347,0.4557773590552001,162217,58,4,9,18790,15,23,Rent,Masters,Widowed,27,0.21110775
5916,343,0.18233430037896936,81696,73,1,5,4275,6,7,Rent,High School,Widowed,12,0.0
5917,799,0.5880413950416942,111170,21,8,2,13792,0,2,Rent,High School,Single,5,0.1695445
5918,671,0.7247466443598227,123890,38,8,5,9637,9,10,Rent,Bachelor,Widowed,13,0.16701677
5919,691,0.9291295065571258,64353,81,7,8,3895,1,15,Own,High School,Widowed,25,0.22952954
5920,741,0.9604640616782142,161347,70,5,4,4340,19,6,Rent,Bachelor,Single,8,0.24681011
5921,739,0.09391483528385802,101181,65,9,3,17019,12,29,Mortgage,Masters,Married,29,0.25247008
5922,539,0.5610774672517468,52483,38,1,9,17804,1,6,Own,Masters,Married,25,0.25253397
5923,835,0.7439625241156862,100630,22,6,12,2199,18,17,Mortgage,Bachelor,Divorced,24,0.24178492
5924,779,0.500473424797587,34483,34,3,5,6672,12,27,Rent,PhD,Single,12,0.26701295
5925,407,0.6287552059149633,153993,72,0,2,6023,11,1,Mortgage,High School,Widowed,14,0.19487731
5926,688,0.7097059471193594,120848,46,9,13,7968,3,28,Mortgage,High School,Divorced,5,0.18719293
5927,419,0.51870198091437,42461,70,7,4,14948,12,11,Rent,High School,Widowed,4,0.0
5928,643,0.4291459718804205,157930,34,7,14,2460,10,1,Own,Bachelor,Widowed,28,0.19637878
5929,369,0.8511030567434441,110658,78,8,0,11618,17,12,Rent,Masters,Divorced,20,0.21616825
5930,329,0.13293058559243254,155890,47,3,8,9127,10,20,Rent,Masters,Widowed,25,0.178048
5931,651,0.20422223686793517,38583,85,9,17,14728,7,9,Own,High School,Married,11,0.27904412
5932,815,0.7310944740578849,98122,24,4,9,10397,2,16,Rent,PhD,Single,8,0.2547962
5933,798,0.27921061524598434,107644,78,8,18,5523,1,27,Mortgage,Masters,Widowed,9,0.17025968
5934,600,0.22547039787110335,129173,30,7,4,4388,6,6,Mortgage,Masters,Widowed,12,0.0
5935,573,0.642853623400874,42320,22,4,12,14422,13,26,Rent,Bachelor,Divorced,25,0.23855358
5936,504,0.9581217686179321,166008,37,5,7,2826,3,0,Own,Masters,Married,26,0.23897812
5937,766,0.18649595796367757,193468,62,6,2,6232,13,27,Mortgage,Bachelor,Widowed,15,0.21558748
5938,494,0.39832902199704134,183413,44,5,14,10235,18,20,Rent,Masters,Single,17,0.22928172
5939,613,0.1992421720381663,29731,32,0,19,8746,0,24,Rent,Bachelor,Divorced,14,0.24185216
5940,806,0.5542784851647063,126145,39,0,4,11479,14,24,Rent,High School,Divorced,9,0.23318349
5941,793,0.9565759181355197,174881,82,0,6,11274,10,21,Own,Bachelor,Divorced,18,0.35880542
5942,409,0.1783743279508,166116,45,9,17,11378,2,1,Own,Masters,Divorced,19,0.16950925
5943,313,0.49772772169572854,173446,26,7,18,6930,16,18,Own,Bachelor,Widowed,4,0.2245571
5944,771,0.8818406970045769,31815,25,8,13,8345,0,26,Mortgage,High School,Single,0,0.2230903
5945,349,0.2876225047753469,103224,89,9,4,16751,10,7,Mortgage,Masters,Single,25,0.23469518
5946,810,0.6215755151553759,29536,30,7,11,16340,18,13,Rent,Bachelor,Single,6,0.24760965
5947,813,0.862048105746531,154032,44,8,4,12541,7,22,Mortgage,Bachelor,Single,18,0.24226761
5948,342,0.3957078384024587,84621,21,7,8,11423,17,17,Own,High School,Widowed,2,0.15326166
5949,351,0.3636249555659321,42849,37,2,2,9437,6,23,Own,Bachelor,Widowed,12,0.23812346
5950,664,0.731020365653331,126230,71,0,13,10587,17,13,Mortgage,PhD,Single,19,0.24575996
5951,525,0.0958577176027019,147967,30,2,6,9300,1,21,Rent,Masters,Married,29,0.21455896
5952,626,0.4382924247811596,58746,85,7,6,18278,13,11,Own,High School,Single,4,0.24686468
5953,645,0.8223774403388925,81529,87,4,7,15544,5,8,Mortgage,High School,Married,15,0.2760594
5954,700,0.7267902649766812,156021,52,6,0,7986,18,3,Own,PhD,Widowed,8,0.1914507
5955,589,0.07066651528470447,138136,47,1,5,4641,4,6,Rent,Masters,Single,20,0.1652012
5956,562,0.5440924960888383,153540,70,3,0,19044,3,26,Rent,High School,Divorced,15,0.22403017
5957,654,0.545530426244994,164434,38,3,6,6219,8,9,Rent,High School,Widowed,24,0.16486497
5958,514,0.5480127700997192,87013,56,8,1,19233,0,18,Mortgage,Masters,Widowed,10,0.0
5959,362,0.6580098131904369,37152,22,8,14,18325,4,8,Rent,Bachelor,Widowed,20,0.19170664
5960,518,0.09422540588148964,20986,40,1,13,3290,1,13,Rent,PhD,Married,13,0.27668333
5961,766,0.22749372110545907,38637,39,8,19,12015,6,21,Own,Masters,Divorced,24,0.23506968
5962,780,0.382890755814258,189190,58,7,14,15055,19,16,Rent,Bachelor,Divorced,6,0.22307889
5963,304,0.2841204253769246,88200,45,6,11,6265,3,18,Rent,PhD,Widowed,25,0.19614759
5964,756,0.5065503740216921,41431,21,6,13,8177,6,5,Rent,Bachelor,Widowed,12,0.16695449
5965,559,0.9426513127705024,102472,26,1,10,5126,19,2,Mortgage,PhD,Widowed,9,0.20296128
5966,362,0.12309476893377036,166848,89,1,8,11377,17,3,Mortgage,Masters,Single,9,0.26268613
5967,776,0.12052698198840384,196194,19,0,16,9784,3,8,Mortgage,Masters,Single,9,0.15385109
5968,473,0.3205574754314,88379,36,6,5,10407,8,13,Own,Bachelor,Divorced,12,0.25282517
5969,840,0.7165512960546854,30427,77,1,17,4949,4,29,Rent,PhD,Widowed,1,0.23935995
5970,801,0.11901503198913188,74884,86,3,16,2659,2,20,Mortgage,PhD,Married,3,0.2940731
5971,446,0.3088929261712632,56949,56,9,4,14157,2,2,Rent,PhD,Married,2,0.2388303
5972,600,0.5445906910003568,55589,63,0,12,11955,16,13,Mortgage,High School,Married,15,0.26931933
5973,424,0.2646809830758686,150824,23,2,8,15397,3,28,Mortgage,PhD,Widowed,13,0.18955377
5974,846,0.7948340304645334,168784,84,9,12,12484,10,1,Rent,Masters,Widowed,20,0.0
5975,336,0.20121926568340076,50230,42,1,1,12959,9,27,Mortgage,High School,Divorced,21,0.19957547
5976,540,0.16126674728048573,54255,20,3,4,10732,14,27,Rent,PhD,Widowed,29,0.18795346
5977,470,0.2201723806463104,105204,88,7,4,16517,14,20,Mortgage,High School,Widowed,15,0.17066729
5978,610,0.03079875696659773,99531,20,3,5,18397,11,25,Own,High School,Widowed,21,0.15660584
5979,827,0.675497531820947,121376,49,2,9,19981,2,7,Own,Bachelor,Widowed,7,0.16627531
5980,662,0.44656534555885985,186669,65,9,19,4101,1,3,Rent,Bachelor,Single,27,0.23621805
5981,304,0.7442140032383104,116272,19,3,12,18743,7,3,Own,High School,Widowed,23,0.23483963
5982,592,0.5939162346515868,21444,24,4,10,7237,5,6,Mortgage,Masters,Single,19,0.18620902
5983,575,0.3410487785944497,59198,21,4,12,3970,14,4,Mortgage,Masters,Divorced,12,0.21169022
5984,397,0.3612256804729974,60280,68,1,3,15968,4,26,Mortgage,PhD,Single,18,0.26394743
5985,492,0.19255029923347466,191683,53,6,8,4138,2,11,Mortgage,PhD,Married,8,0.21849725
5986,450,0.9498163375631488,87743,58,2,18,6187,1,17,Mortgage,PhD,Married,22,0.32206076
5987,378,0.06360963096451211,57668,33,6,19,15680,7,28,Own,Bachelor,Single,11,0.20758642
5988,774,0.09943380900037369,192457,48,1,19,14608,12,26,Own,Masters,Divorced,18,0.24015589
5989,632,0.11108658114240055,45908,62,2,6,17733,11,0,Mortgage,Masters,Married,2,0.21816577
5990,483,0.10327820721979464,166678,45,2,0,10465,0,26,Mortgage,Bachelor,Divorced,13,0.24979821
5991,781,0.23355566023652896,143857,42,6,6,4038,8,18,Rent,Masters,Divorced,23,0.2069166
5992,828,0.6296341603668305,181546,83,5,17,12512,7,12,Mortgage,Masters,Married,3,0.2554031
5993,668,0.865788472317687,48758,24,9,5,10812,16,21,Mortgage,High School,Single,15,0.1886045
5994,804,0.20484302461314818,117510,54,2,17,14295,13,5,Mortgage,Masters,Divorced,29,0.21042642
5995,513,0.11084752709095158,39412,46,5,2,19522,19,22,Rent,High School,Widowed,5,0.0
5996,692,0.6364310928539695,32197,43,0,5,17983,10,20,Rent,High School,Widowed,20,0.19748591
5997,813,0.6884964487714151,196052,79,8,16,1143,14,27,Own,PhD,Divorced,5,0.28222972
5998,767,0.9774044725104164,129550,22,8,3,17332,16,11,Own,Masters,Divorced,19,0.18594402
5999,712,0.5975032327795231,133706,29,9,14,7965,14,21,Mortgage,Bachelor,Divorced,19,0.21810676
6000,602,0.1894831885667635,168826,46,6,17,12000,13,24,Rent,High School,Married,15,0.21006705
6001,302,0.37985275778330485,190510,87,1,0,3758,8,8,Mortgage,Masters,Single,24,0.27412778
6002,422,0.0015841551325526115,61753,79,9,12,19673,12,9,Mortgage,High School,Married,14,0.20587687
6003,385,0.0859894656719995,53956,51,0,18,11544,13,21,Rent,Masters,Married,6,0.19867387
6004,801,0.8396996504245481,91813,34,2,11,15591,16,9,Own,PhD,Widowed,4,0.21693258
6005,758,0.38070571426843114,126806,40,7,6,17466,15,25,Rent,Bachelor,Widowed,29,0.19610797
6006,383,0.03539477636432342,195950,59,9,9,11432,15,5,Own,Bachelor,Widowed,4,0.16584861
6007,676,0.5718377078008134,26886,65,3,8,1683,3,10,Own,Bachelor,Widowed,7,0.2231212
6008,426,0.9231770962888167,58289,86,0,1,8783,4,5,Own,Bachelor,Single,16,0.31809175
6009,795,0.30515741334127766,185612,25,4,1,6840,11,16,Mortgage,PhD,Widowed,0,0.0
6010,729,0.44936857128310836,111217,44,8,7,5588,15,26,Mortgage,PhD,Married,26,0.28018716
6011,619,0.5800623513157539,169535,35,1,5,13176,3,19,Own,Masters,Single,22,0.22811326
6012,568,0.7848963688234861,88768,23,5,16,8490,10,28,Own,High School,Married,20,0.31881145
6013,327,0.8983222560779823,113480,45,5,12,15906,19,25,Mortgage,PhD,Single,1,0.25201064
6014,418,0.2514420142170948,61671,21,6,19,7338,17,24,Mortgage,Bachelor,Single,18,0.22707912
6015,618,0.7441814362238559,89949,65,1,7,5295,0,2,Own,PhD,Divorced,26,0.2755413
6016,399,0.612692039654612,169537,55,6,3,18848,3,6,Rent,PhD,Single,1,0.20519552
6017,559,0.38129502343291277,75440,21,7,6,16425,10,10,Mortgage,Bachelor,Divorced,26,0.19688118
6018,495,0.4315031069824078,120212,18,5,19,18596,17,21,Own,PhD,Divorced,10,0.2447014
6019,431,0.778633433322458,28529,53,1,8,9631,2,22,Rent,Masters,Single,16,0.26161742
6020,797,0.5337189137713833,179248,53,2,15,2784,14,21,Rent,High School,Widowed,16,0.17860274
6021,713,0.3066457552310684,164986,39,4,0,13208,12,15,Mortgage,Masters,Single,25,0.21752238
6022,618,0.879292543348001,45022,87,3,13,6763,2,21,Mortgage,PhD,Single,27,0.31582385
6023,789,0.9457452303939424,99245,18,0,6,15404,5,9,Own,Bachelor,Single,29,0.2657019
6024,585,0.4579103945543387,114515,84,3,18,2218,7,22,Own,High School,Divorced,8,0.27499214
6025,532,0.9952102812371542,128034,50,8,16,11222,19,14,Mortgage,Masters,Married,10,0.22727321
6026,403,0.0425322924090088,137659,33,2,5,17210,18,28,Mortgage,Masters,Single,18,0.22430192
6027,318,0.46040819635670194,100140,58,1,4,1376,7,7,Rent,High School,Divorced,18,0.20928532
6028,328,0.6622204609732633,90370,83,0,15,3115,17,17,Rent,Masters,Widowed,15,0.24388723
6029,444,0.527390930677852,39010,34,3,6,8292,7,15,Own,High School,Divorced,29,0.27090544
6030,474,0.8247986595970813,144267,38,9,7,17208,1,11,Rent,Masters,Single,18,0.19136214
6031,844,0.9882983868010895,75623,67,1,16,18982,7,19,Own,Bachelor,Widowed,16,0.26469785
6032,308,0.5491027113951108,148764,43,5,13,12184,14,13,Mortgage,Bachelor,Single,18,0.27959752
6033,365,0.1485632188609296,28616,40,6,13,18932,10,29,Mortgage,High School,Single,17,0.20582579
6034,587,0.29971673782749575,165573,29,4,9,17836,13,19,Own,High School,Single,17,0.22580744
6035,340,0.06432179537659155,130021,66,5,13,1542,13,16,Rent,Masters,Widowed,2,0.16534898
